Location,Period,Dimension,Population using safely managed sanitation services (%)
Armenia,2005,Urban,45.46
Armenia,2004,Total,47.8
Armenia,2004,Urban,45.45
Armenia,2003,Total,47.69
Armenia,2003,Urban,45.44
Armenia,2002,Total,47.59
Armenia,2002,Urban,45.43
Armenia,2001,Total,47.48
Armenia,2001,Urban,45.42
Armenia,2000,Total,47.37
Armenia,2000,Urban,45.41
Australia,2017,Total,75.64
Australia,2016,Total,74.76
Australia,2015,Total,73.88
Australia,2014,Total,73.0
Australia,2013,Total,72.12
Australia,2012,Total,71.24
Australia,2011,Total,70.37
Australia,2010,Total,69.49
Australia,2009,Total,68.61
Australia,2008,Total,67.73
Australia,2007,Total,66.85
Australia,2006,Total,65.97
Australia,2005,Total,65.09
Australia,2004,Total,64.21
Australia,2003,Total,64.21
Australia,2002,Total,64.21
Australia,2001,Total,64.21
Australia,2000,Total,64.21
Austria,2017,Total,96.75
Austria,2017,Urban,99.95
Austria,2017,Rural,92.3
Austria,2016,Total,96.73
Austria,2016,Urban,99.96
Austria,2016,Rural,92.3
Austria,2015,Total,96.72
Austria,2015,Urban,99.96
Austria,2015,Rural,92.3
Austria,2014,Total,96.71
Austria,2014,Urban,99.96
Austria,2014,Rural,92.3
Austria,2013,Total,96.7
Austria,2013,Urban,99.97
Austria,2013,Rural,92.3
Austria,2012,Total,96.68
Austria,2012,Urban,99.97
Austria,2012,Rural,92.3
Austria,2011,Total,96.68
Austria,2011,Urban,99.97
Austria,2011,Rural,92.3
Austria,2010,Total,96.71
Austria,2010,Urban,99.98
Austria,2010,Rural,92.3
Austria,2009,Total,96.73
Austria,2009,Urban,99.98
Austria,2009,Rural,92.3
Austria,2008,Total,96.75
Austria,2008,Urban,99.98
Austria,2008,Rural,92.3
Austria,2007,Total,96.78
Austria,2007,Urban,99.98
Austria,2007,Rural,92.3
Austria,2006,Total,96.8
Austria,2006,Urban,99.99
Austria,2006,Rural,92.3
Austria,2005,Total,96.82
Austria,2005,Urban,99.99
Austria,2005,Rural,92.3
Austria,2004,Total,96.85
Austria,2004,Urban,99.99
Austria,2004,Rural,92.3
Austria,2003,Total,96.87
Austria,2003,Urban,100.0
Austria,2003,Rural,92.3
Austria,2002,Total,96.89
Austria,2002,Urban,100.0
Austria,2002,Rural,92.3
Austria,2001,Total,96.92
Austria,2001,Urban,100.0
Austria,2001,Rural,92.3
Austria,2000,Total,96.94
Austria,2000,Urban,100.0
Austria,2000,Rural,92.3
Azerbaijan,2017,Urban,92.21
Azerbaijan,2016,Urban,92.29
Azerbaijan,2015,Urban,92.36
Azerbaijan,2014,Urban,91.56
Azerbaijan,2013,Urban,90.63
Azerbaijan,2012,Urban,88.65
Azerbaijan,2011,Urban,86.69
Azerbaijan,2010,Urban,84.75
Azerbaijan,2009,Urban,82.84
Azerbaijan,2008,Urban,80.95
Azerbaijan,2007,Urban,79.08
Azerbaijan,2006,Urban,77.23
Azerbaijan,2005,Urban,75.4
Azerbaijan,2004,Urban,73.6
Azerbaijan,2003,Urban,72.76
Azerbaijan,2002,Urban,71.92
Azerbaijan,2001,Urban,71.07
Azerbaijan,2000,Urban,70.23
Bahrain,2017,Total,96.0
Bahrain,2016,Total,96.0
Bahrain,2015,Total,96.0
Bahrain,2014,Total,96.0
Bahrain,2013,Total,96.0
Bahrain,2012,Total,96.0
Bahrain,2011,Total,96.0
Bahrain,2010,Total,95.99
Bahrain,2009,Total,95.98
Bahrain,2008,Total,95.96
Bahrain,2007,Total,95.95
Bahrain,2006,Total,95.94
Bahrain,2005,Total,95.92
Bahrain,2004,Total,95.91
Bahrain,2003,Total,95.89
Bahrain,2002,Total,95.88
Bahrain,2001,Total,95.87
Bahrain,2000,Total,95.85
Bangladesh,2017,Rural,32.34
Bangladesh,2016,Rural,31.25
Bangladesh,2015,Rural,30.03
Bangladesh,2014,Rural,28.82
Bangladesh,2013,Rural,27.62
Bangladesh,2012,Rural,26.44
Bangladesh,2011,Rural,25.27
Bangladesh,2010,Rural,24.12
Bangladesh,2009,Rural,22.98
Bangladesh,2008,Rural,21.86
Bangladesh,2007,Rural,20.75
Bangladesh,2006,Rural,19.65
Bangladesh,2005,Rural,18.57
Bangladesh,2004,Rural,17.5
Bangladesh,2003,Rural,16.57
Bangladesh,2002,Rural,15.64
Bangladesh,2001,Rural,14.71
Bangladesh,2000,Rural,13.79
Belarus,2017,Total,80.52
Belarus,2017,Urban,81.67
Belarus,2017,Rural,76.38
Belarus,2016,Total,80.39
Belarus,2016,Urban,81.47
Belarus,2016,Rural,76.62
Belarus,2015,Total,81.51
Belarus,2015,Urban,82.61
Belarus,2015,Rural,77.77
Belarus,2014,Total,82.62
Belarus,2014,Urban,83.75
Belarus,2014,Rural,78.9
Belarus,2013,Total,83.37
Belarus,2013,Urban,84.31
Belarus,2013,Rural,80.39
Belarus,2012,Total,84.11
Belarus,2012,Urban,84.83
Belarus,2012,Rural,81.86
Belarus,2011,Total,84.83
Belarus,2011,Urban,85.33
Belarus,2011,Rural,83.31
Belarus,2010,Total,85.53
Belarus,2010,Urban,85.81
Belarus,2010,Rural,84.73
Belarus,2009,Total,86.22
Belarus,2009,Urban,86.26
Belarus,2009,Rural,86.12
Belarus,2008,Total,86.9
Belarus,2008,Urban,86.69
Belarus,2008,Rural,87.48
Belarus,2007,Total,87.55
Belarus,2007,Urban,87.09
Belarus,2007,Rural,88.82
Belarus,2006,Total,88.19
Belarus,2006,Urban,87.47
Belarus,2006,Rural,90.13
Belarus,2005,Total,88.81
Belarus,2005,Urban,87.82
Belarus,2005,Rural,91.42
Belarus,2004,Total,89.42
Belarus,2004,Urban,88.15
Belarus,2004,Rural,92.68
Belarus,2003,Total,90.01
Belarus,2003,Urban,88.45
Belarus,2003,Rural,93.91
Belarus,2002,Total,90.04
Belarus,2002,Urban,88.45
Belarus,2002,Rural,93.91
Belarus,2001,Total,90.07
Belarus,2001,Urban,88.45
Belarus,2001,Rural,93.91
Belarus,2000,Total,90.09
Belarus,2000,Urban,88.45
Belarus,2000,Rural,93.91
Belgium,2017,Total,97.1
Belgium,2016,Total,97.1
Belgium,2015,Total,97.1
Belgium,2014,Total,94.83
Belgium,2013,Total,92.55
Belgium,2012,Total,91.61
Belgium,2011,Total,90.94
Belgium,2010,Total,90.27
Belgium,2009,Total,89.6
Belgium,2008,Total,88.93
Belgium,2007,Total,88.26
Belgium,2006,Total,87.59
Belgium,2005,Total,86.92
Belgium,2004,Total,86.25
Belgium,2003,Total,85.58
Belgium,2002,Total,85.57
Belgium,2001,Total,85.57
Belgium,2000,Total,85.57
Bolivia (Plurinational State of),2017,Total,22.94
Bolivia (Plurinational State of),2017,Urban,24.67
Bolivia (Plurinational State of),2016,Total,22.22
Bolivia (Plurinational State of),2016,Urban,24.02
Bolivia (Plurinational State of),2015,Total,21.51
Bolivia (Plurinational State of),2015,Urban,23.37
Bolivia (Plurinational State of),2014,Total,20.81
Bolivia (Plurinational State of),2014,Urban,22.72
Bolivia (Plurinational State of),2013,Total,20.12
Bolivia (Plurinational State of),2013,Urban,22.09
Bolivia (Plurinational State of),2012,Total,19.44
Bolivia (Plurinational State of),2012,Urban,21.47
Bolivia (Plurinational State of),2011,Total,18.76
Bolivia (Plurinational State of),2011,Urban,20.85
Bolivia (Plurinational State of),2010,Total,18.09
Bolivia (Plurinational State of),2010,Urban,20.25
Bolivia (Plurinational State of),2009,Total,17.43
Bolivia (Plurinational State of),2009,Urban,19.65
Bolivia (Plurinational State of),2008,Total,16.78
Bolivia (Plurinational State of),2008,Urban,19.06
Bolivia (Plurinational State of),2007,Total,16.13
Bolivia (Plurinational State of),2007,Urban,18.49
Bolivia (Plurinational State of),2006,Total,15.5
Bolivia (Plurinational State of),2006,Urban,17.92
Bolivia (Plurinational State of),2005,Total,15.09
Bolivia (Plurinational State of),2005,Urban,17.64
Bolivia (Plurinational State of),2004,Total,14.68
Bolivia (Plurinational State of),2004,Urban,17.36
Bolivia (Plurinational State of),2003,Total,14.27
Bolivia (Plurinational State of),2003,Urban,17.08
Bolivia (Plurinational State of),2002,Total,13.86
Bolivia (Plurinational State of),2002,Urban,16.8
Bolivia (Plurinational State of),2001,Total,13.44
Bolivia (Plurinational State of),2001,Urban,16.52
Bolivia (Plurinational State of),2000,Total,13.02
Bolivia (Plurinational State of),2000,Urban,16.24
Bosnia and Herzegovina,2017,Total,21.55
Bosnia and Herzegovina,2017,Urban,11.27
Bosnia and Herzegovina,2016,Total,21.24
Bosnia and Herzegovina,2016,Urban,10.81
Bosnia and Herzegovina,2015,Total,20.92
Bosnia and Herzegovina,2015,Urban,10.35
Bosnia and Herzegovina,2014,Total,20.59
Bosnia and Herzegovina,2014,Urban,9.88
Bosnia and Herzegovina,2013,Total,20.39
Bosnia and Herzegovina,2013,Urban,9.49
Bosnia and Herzegovina,2012,Total,20.22
Bosnia and Herzegovina,2012,Urban,9.15
Bosnia and Herzegovina,2011,Total,20.07
Bosnia and Herzegovina,2011,Urban,8.87
Bosnia and Herzegovina,2010,Total,19.91
Bosnia and Herzegovina,2010,Urban,8.59
Bosnia and Herzegovina,2009,Total,19.76
Bosnia and Herzegovina,2009,Urban,8.32
Bosnia and Herzegovina,2008,Total,19.6
Bosnia and Herzegovina,2008,Urban,8.05
Bosnia and Herzegovina,2007,Total,19.45
Bosnia and Herzegovina,2007,Urban,7.78
Bosnia and Herzegovina,2006,Total,19.29
Bosnia and Herzegovina,2006,Urban,7.51
Bosnia and Herzegovina,2005,Total,19.13
Bosnia and Herzegovina,2005,Urban,7.25
Bosnia and Herzegovina,2004,Total,18.98
Bosnia and Herzegovina,2004,Urban,6.99
Bosnia and Herzegovina,2003,Total,18.82
Bosnia and Herzegovina,2003,Urban,6.73
Bosnia and Herzegovina,2002,Total,18.66
Bosnia and Herzegovina,2002,Urban,6.47
Bosnia and Herzegovina,2001,Total,18.54
Bosnia and Herzegovina,2001,Urban,6.26
Bosnia and Herzegovina,2000,Total,18.76
Bosnia and Herzegovina,2000,Urban,6.45
Brazil,2017,Total,49.28
Brazil,2017,Urban,51.6
Brazil,2016,Total,47.04
Brazil,2016,Urban,49.26
Brazil,2015,Total,44.86
Brazil,2015,Urban,46.99
Brazil,2014,Total,42.74
Brazil,2014,Urban,44.78
Brazil,2013,Total,40.68
Brazil,2013,Urban,42.62
Brazil,2012,Total,38.68
Brazil,2012,Urban,40.53
Brazil,2011,Total,36.73
Brazil,2011,Urban,38.49
Brazil,2010,Total,34.85
Brazil,2010,Urban,36.51
Brazil,2009,Total,33.02
Brazil,2009,Urban,34.59
Brazil,2008,Total,31.25
Brazil,2008,Urban,32.72
Brazil,2007,Total,29.54
Brazil,2007,Urban,30.92
Brazil,2006,Total,27.88
Brazil,2006,Urban,29.17
Brazil,2005,Total,27.68
Brazil,2005,Urban,29.06
Brazil,2004,Total,27.47
Brazil,2004,Urban,28.96
Brazil,2003,Total,27.26
Brazil,2003,Urban,28.85
Brazil,2002,Total,27.04
Brazil,2002,Urban,28.74
Brazil,2001,Total,26.83
Brazil,2001,Urban,28.64
Brazil,2000,Total,26.6
Brazil,2000,Urban,28.53
Bulgaria,2017,Total,64.41
Bulgaria,2017,Urban,72.89
Bulgaria,2016,Total,62.45
Bulgaria,2016,Urban,70.86
Bulgaria,2015,Total,60.51
Bulgaria,2015,Urban,68.82
Bulgaria,2014,Total,58.6
Bulgaria,2014,Urban,66.78
Bulgaria,2013,Total,56.7
Bulgaria,2013,Urban,64.75
Bulgaria,2012,Total,54.84
Bulgaria,2012,Urban,62.77
Bulgaria,2011,Total,52.99
Bulgaria,2011,Urban,60.8
Bulgaria,2010,Total,51.17
Bulgaria,2010,Urban,58.84
Bulgaria,2009,Total,49.37
Bulgaria,2009,Urban,56.89
Bulgaria,2008,Total,47.59
Bulgaria,2008,Urban,54.95
Bulgaria,2007,Total,47.59
Bulgaria,2007,Urban,55.03
Bulgaria,2006,Total,47.58
Bulgaria,2006,Urban,55.11
Bulgaria,2005,Total,47.57
Bulgaria,2005,Urban,55.18
Bulgaria,2004,Total,47.65
Bulgaria,2004,Urban,55.26
Bulgaria,2003,Total,47.76
Bulgaria,2003,Urban,55.34
Bulgaria,2002,Total,47.87
Bulgaria,2002,Urban,55.41
Bulgaria,2001,Total,47.99
Bulgaria,2001,Urban,55.49
Bulgaria,2000,Total,48.09
Bulgaria,2000,Urban,55.57
Canada,2017,Total,82.32
Canada,2017,Urban,82.45
Canada,2017,Rural,81.74
Canada,2016,Total,82.36
Canada,2016,Urban,82.49
Canada,2016,Rural,81.82
Canada,2015,Total,82.41
Canada,2015,Urban,82.53
Canada,2015,Rural,81.9
Canada,2014,Total,82.46
Canada,2014,Urban,82.57
Canada,2014,Rural,81.98
Canada,2013,Total,82.51
Canada,2013,Urban,82.61
Canada,2013,Rural,82.06
Canada,2012,Total,82.55
Canada,2012,Urban,82.65
Canada,2012,Rural,82.14
Canada,2011,Total,82.6
Canada,2011,Urban,82.69
Canada,2011,Rural,82.21
Canada,2010,Total,81.97
Canada,2010,Urban,82.05
Canada,2010,Rural,81.63
Canada,2009,Total,81.34
Canada,2009,Urban,81.41
Canada,2009,Rural,81.04
Canada,2008,Total,80.7
Canada,2008,Urban,80.77
Canada,2008,Rural,80.45
Canada,2007,Total,80.07
Canada,2007,Urban,80.12
Canada,2007,Rural,79.85
Canada,2006,Total,79.44
Canada,2006,Urban,79.48
Canada,2006,Rural,79.26
Canada,2005,Total,78.8
Canada,2005,Urban,78.84
Canada,2005,Rural,78.66
Canada,2004,Total,78.16
Canada,2004,Urban,78.19
Canada,2004,Rural,78.03
Canada,2003,Total,77.48
Canada,2003,Urban,77.51
Canada,2003,Rural,77.37
Canada,2002,Total,76.8
Canada,2002,Urban,76.82
Canada,2002,Rural,76.7
Canada,2001,Total,76.8
Canada,2001,Urban,76.82
Canada,2001,Rural,76.7
Canada,2000,Total,76.8
Canada,2000,Urban,76.82
Canada,2000,Rural,76.7
Chile,2017,Total,77.46
Chile,2017,Urban,81.37
Chile,2016,Total,75.63
Chile,2016,Urban,81.25
Chile,2015,Total,73.59
Chile,2015,Urban,81.06
Chile,2014,Total,71.55
Chile,2014,Urban,78.23
Chile,2013,Total,69.46
Chile,2013,Urban,75.34
Chile,2012,Total,67.36
Chile,2012,Urban,72.43
Chile,2011,Total,65.27
Chile,2011,Urban,69.54
Chile,2010,Total,63.2
Chile,2010,Urban,66.67
Chile,2009,Total,61.15
Chile,2009,Urban,63.82
Chile,2008,Total,59.11
Chile,2008,Urban,60.98
Chile,2007,Total,57.09
Chile,2007,Urban,58.17
Chile,2006,Total,55.08
Chile,2006,Urban,55.38
Chile,2005,Total,53.09
Chile,2005,Urban,52.6
Chile,2004,Total,51.12
Chile,2004,Urban,49.85
Chile,2003,Total,49.17
Chile,2003,Urban,47.11
Chile,2002,Total,48.96
Chile,2002,Urban,46.98
Chile,2001,Total,48.73
Chile,2001,Urban,46.86
Chile,2000,Total,48.5
Chile,2000,Urban,46.74
China,2017,Total,72.08
China,2017,Urban,83.7
China,2017,Rural,56.07
China,2016,Total,68.25
China,2016,Urban,79.97
China,2016,Rural,52.88
China,2015,Total,64.51
China,2015,Urban,76.26
China,2015,Rural,49.85
China,2014,Total,60.87
China,2014,Urban,72.61
China,2014,Rural,46.94
China,2013,Total,57.34
China,2013,Urban,68.99
China,2013,Rural,44.19
China,2012,Total,53.93
China,2012,Urban,65.41
China,2012,Rural,41.6
China,2011,Total,50.69
China,2011,Urban,61.85
China,2011,Rural,39.29
China,2010,Total,47.56
China,2010,Urban,58.32
China,2010,Rural,37.13
China,2009,Total,44.55
China,2009,Urban,54.81
China,2009,Rural,35.12
China,2008,Total,41.67
China,2008,Urban,51.33
China,2008,Rural,33.26
China,2007,Total,38.93
China,2007,Urban,47.87
China,2007,Rural,31.56
China,2006,Total,36.33
China,2006,Urban,44.43
China,2006,Rural,30.01
China,2005,Total,33.89
China,2005,Urban,40.96
China,2005,Rural,28.66
China,2004,Total,31.6
China,2004,Urban,37.5
China,2004,Rural,27.47
China,2003,Total,29.48
China,2003,Urban,34.07
China,2003,Rural,26.44
China,2002,Total,27.53
China,2002,Urban,30.65
China,2002,Rural,25.58
China,2001,Total,26.8
China,2001,Urban,30.03
China,2001,Rural,24.9
China,2000,Total,26.56
China,2000,Urban,29.4
China,2000,Rural,24.97
Colombia,2017,Total,16.99
Colombia,2017,Urban,15.83
Colombia,2016,Total,16.79
Colombia,2016,Urban,15.7
Colombia,2015,Total,16.59
Colombia,2015,Urban,15.56
Colombia,2014,Total,16.4
Colombia,2014,Urban,15.43
Colombia,2013,Total,16.2
Colombia,2013,Urban,15.29
Colombia,2012,Total,16.0
Colombia,2012,Urban,15.16
Colombia,2011,Total,15.79
Colombia,2011,Urban,15.03
Colombia,2010,Total,15.59
Colombia,2010,Urban,14.89
Colombia,2009,Total,15.39
Colombia,2009,Urban,14.76
Colombia,2008,Total,15.18
Colombia,2008,Urban,14.63
Colombia,2007,Total,14.97
Colombia,2007,Urban,14.5
Colombia,2006,Total,14.76
Colombia,2006,Urban,14.37
Colombia,2005,Total,14.55
Colombia,2005,Urban,14.24
Colombia,2004,Total,14.34
Colombia,2004,Urban,14.11
Colombia,2003,Total,14.12
Colombia,2003,Urban,13.98
Colombia,2002,Total,13.91
Colombia,2002,Urban,13.85
Colombia,2001,Total,13.69
Colombia,2001,Urban,13.72
Colombia,2000,Total,13.47
Colombia,2000,Urban,13.59
Croatia,2017,Total,58.5
Croatia,2017,Urban,64.27
Croatia,2016,Total,58.45
Croatia,2016,Urban,64.25
Croatia,2015,Total,58.4
Croatia,2015,Urban,64.24
Croatia,2014,Total,58.35
Croatia,2014,Urban,64.22
Croatia,2013,Total,58.31
Croatia,2013,Urban,64.2
Croatia,2012,Total,58.27
Croatia,2012,Urban,64.19
Croatia,2011,Total,58.23
Croatia,2011,Urban,64.17
Croatia,2010,Total,58.19
Croatia,2010,Urban,64.16
Croatia,2009,Total,58.15
Croatia,2009,Urban,64.14
Croatia,2008,Total,58.12
Croatia,2008,Urban,64.12
Croatia,2007,Total,58.08
Croatia,2007,Urban,64.11
Croatia,2006,Total,58.04
Croatia,2006,Urban,64.09
Croatia,2005,Total,58.0
Croatia,2005,Urban,64.07
Croatia,2004,Total,57.97
Croatia,2004,Urban,64.06
Croatia,2003,Total,57.93
Croatia,2003,Urban,64.04
Croatia,2002,Total,57.89
Croatia,2002,Urban,64.03
Croatia,2001,Total,57.86
Croatia,2001,Urban,64.01
Croatia,2000,Total,57.83
Croatia,2000,Urban,64.01
Cuba,2017,Total,44.34
Cuba,2017,Urban,41.87
Cuba,2016,Total,43.56
Cuba,2016,Urban,41.03
Cuba,2015,Total,42.69
Cuba,2015,Urban,40.2
Cuba,2014,Total,41.8
Cuba,2014,Urban,39.38
Cuba,2013,Total,40.93
Cuba,2013,Urban,38.57
Cuba,2012,Total,40.07
Cuba,2012,Urban,37.78
Cuba,2011,Total,39.23
Cuba,2011,Urban,37.0
Cuba,2010,Total,38.41
Cuba,2010,Urban,36.23
Cuba,2009,Total,37.6
Cuba,2009,Urban,35.48
Cuba,2008,Total,36.81
Cuba,2008,Urban,34.74
Cuba,2007,Total,36.03
Cuba,2007,Urban,34.01
Cuba,2006,Total,35.26
Cuba,2006,Urban,33.3
Cuba,2005,Total,34.52
Cuba,2005,Urban,32.6
Cuba,2004,Total,33.78
Cuba,2004,Urban,31.91
Cuba,2003,Total,33.73
Cuba,2003,Urban,31.93
Cuba,2002,Total,33.68
Cuba,2002,Urban,31.96
Cuba,2001,Total,33.63
Cuba,2001,Urban,31.98
Cuba,2000,Total,33.58
Cuba,2000,Urban,32.01
Cyprus,2017,Total,75.46
Cyprus,2017,Urban,86.27
Cyprus,2016,Total,75.5
Cyprus,2016,Urban,86.27
Cyprus,2015,Total,75.55
Cyprus,2015,Urban,86.28
Cyprus,2014,Total,75.6
Cyprus,2014,Urban,86.29
Cyprus,2013,Total,75.66
Cyprus,2013,Urban,86.3
Cyprus,2012,Total,75.73
Cyprus,2012,Urban,86.31
Cyprus,2011,Total,75.8
Cyprus,2011,Urban,86.32
Cyprus,2010,Total,75.87
Cyprus,2010,Urban,86.33
Cyprus,2009,Total,75.95
Cyprus,2009,Urban,86.33
Cyprus,2008,Total,76.02
Cyprus,2008,Urban,86.34
Cyprus,2007,Total,76.09
Cyprus,2007,Urban,86.35
Cyprus,2006,Total,76.16
Cyprus,2006,Urban,86.36
Cyprus,2005,Total,76.23
Cyprus,2005,Urban,86.37
Cyprus,2004,Total,76.3
Cyprus,2004,Urban,86.38
Cyprus,2003,Total,76.36
Cyprus,2003,Urban,86.38
Cyprus,2002,Total,76.41
Cyprus,2002,Urban,86.39
Cyprus,2001,Total,76.43
Cyprus,2001,Urban,86.39
Cyprus,2000,Total,76.39
Cyprus,2000,Urban,86.39
Czechia,2017,Total,94.46
Czechia,2017,Urban,97.8
Czechia,2017,Rural,85.1
Czechia,2016,Total,94.31
Czechia,2016,Urban,97.66
Czechia,2016,Rural,84.99
Czechia,2015,Total,93.47
Czechia,2015,Urban,96.78
Czechia,2015,Rural,84.29
Czechia,2014,Total,92.63
Czechia,2014,Urban,95.9
Czechia,2014,Rural,83.6
Czechia,2013,Total,91.78
Czechia,2013,Urban,95.02
Czechia,2013,Rural,82.9
Czechia,2012,Total,90.94
Czechia,2012,Urban,94.14
Czechia,2012,Rural,82.21
Czechia,2011,Total,90.11
Czechia,2011,Urban,93.26
Czechia,2011,Rural,81.52
Czechia,2010,Total,89.29
Czechia,2010,Urban,92.38
Czechia,2010,Rural,80.82
Czechia,2009,Total,88.46
Czechia,2009,Urban,91.49
Czechia,2009,Rural,80.13
Czechia,2008,Total,87.64
Czechia,2008,Urban,90.61
Czechia,2008,Rural,79.43
Czechia,2007,Total,86.81
Czechia,2007,Urban,89.73
Czechia,2007,Rural,78.74
Czechia,2006,Total,85.99
Czechia,2006,Urban,88.85
Czechia,2006,Rural,78.04
Czechia,2005,Total,85.17
Czechia,2005,Urban,87.97
