Unnamed: 0,Period,Location,Sector,Expenditure(million USD),GDP(%)
20070,2017,"Moldova, Republic of",Total function,2947.311,30.47972
20071,2017,"Moldova, Republic of","Agriculture, forestry, fishing and hunting",88.145,0.91156
20072,2017,"Moldova, Republic of","Mining, manufacturing and construction",3.13,0.03237
20073,2017,"Moldova, Republic of",Transport,160.495,1.65976
20074,2017,"Moldova, Republic of",Communication,0.259,0.00268
20075,2017,"Moldova, Republic of",Fuel and energy,11.941,0.12349
20076,2017,"Moldova, Republic of",Environment protection,7.93,0.08201
20077,2017,"Moldova, Republic of",Housing and community amenities,71.101,0.73529
20078,2017,"Moldova, Republic of",Health,392.923,4.06343
20079,2017,"Moldova, Republic of",Education,523.341,5.41215
20080,2017,"Moldova, Republic of",Social protection,1030.497,10.65692
20081,2017,"Moldova, Republic of",General public services,306.994,3.17479
20082,2017,"Moldova, Republic of",Defence,30.721,0.3177
20083,2017,"Moldova, Republic of",Public order and safety,218.471,2.25932
20084,2017,"Moldova, Republic of","Recreation, culture and religion",72.079,0.74541
20085,2017,"Moldova, Republic of","General economic, commercial and labour affairs",9.746,0.10079
20086,2017,"Moldova, Republic of",Other industries,10.028,0.1037
20087,2017,"Moldova, Republic of",RandD Economic affairs,9.249,0.09565
20088,2017,"Moldova, Republic of",Economic affairs n.e.c.,0.259,0.00268
20089,2017,Mongolia,Total function,2967.894,25.85082
20090,2017,Mongolia,Housing and community amenities,7.791,0.06787
20091,2017,Mongolia,Health,300.04,2.61339
20092,2017,Mongolia,Education,319.545,2.78328
20093,2017,Mongolia,Social protection,853.729,7.43612
20094,2017,Mongolia,General public services,744.648,6.486
20095,2017,Mongolia,Defence,111.848,0.97422
20096,2017,Mongolia,Public order and safety,192.953,1.68065
20097,2017,Mongolia,"Recreation, culture and religion",33.119,0.28847
20098,2017,Myanmar,Total function,15279.867,22.40148
20099,2017,Myanmar,"Agriculture, forestry, fishing and hunting",673.097,0.98681
20100,2017,Myanmar,"Mining, manufacturing and construction",1358.531,1.99171
20101,2017,Myanmar,Transport,625.411,0.9169
20102,2017,Myanmar,Communication,147.219,0.21583
20103,2017,Myanmar,Fuel and energy,3447.921,5.05492
20104,2017,Myanmar,Environment protection,4.011,0.00588
20105,2017,Myanmar,Housing and community amenities,502.523,0.73674
20106,2017,Myanmar,Health,801.913,1.17567
20107,2017,Myanmar,Education,1311.683,1.92303
20108,2017,Myanmar,Social protection,567.471,0.83196
20109,2017,Myanmar,General public services,2488.991,3.64905
20110,2017,Myanmar,Defence,2342.794,3.43472
20111,2017,Myanmar,Public order and safety,349.993,0.51312
20112,2017,Myanmar,"Recreation, culture and religion",107.859,0.15813
20113,2017,Myanmar,"General economic, commercial and labour affairs",550.461,0.80702
20114,2017,Myanmar,Other industries,0.0,0.0
20115,2017,Myanmar,RandD Economic affairs,0.0,0.0
20116,2017,Myanmar,Economic affairs n.e.c.,0.0,0.0
20117,2017,Nauru,Total function,106.321,82.58339
20118,2017,Nauru,"Agriculture, forestry, fishing and hunting",1.743,1.35403
20119,2017,Nauru,"Mining, manufacturing and construction",0.0,0.0
20120,2017,Nauru,Transport,4.492,3.48934
20121,2017,Nauru,Communication,1.407,1.09286
20122,2017,Nauru,Fuel and energy,11.16,8.66838
20123,2017,Nauru,Environment protection,0.673,0.52261
20124,2017,Nauru,Housing and community amenities,3.953,3.07027
20125,2017,Nauru,Health,12.244,9.51026
20126,2017,Nauru,Education,13.554,10.5277
20127,2017,Nauru,Social protection,8.432,6.54908
20128,2017,Nauru,General public services,25.852,20.07996
20129,2017,Nauru,Defence,1.276,0.99092
20130,2017,Nauru,Public order and safety,20.876,16.2153
20131,2017,Nauru,"Recreation, culture and religion",0.458,0.35559
20132,2017,Nauru,"General economic, commercial and labour affairs",0.0,0.0
20133,2017,Nauru,Other industries,0.104,0.08042
20134,2017,Nauru,RandD Economic affairs,0.0,0.0
20135,2017,Nauru,Economic affairs n.e.c.,0.099,0.07669
20136,2017,Netherlands (Kingdom of the),Total function,354053.378,42.45908
20137,2017,Netherlands (Kingdom of the),"Agriculture, forestry, fishing and hunting",1068.678,0.12816
20138,2017,Netherlands (Kingdom of the),"Mining, manufacturing and construction",224.807,0.02696
20139,2017,Netherlands (Kingdom of the),Transport,17739.384,2.12736
20140,2017,Netherlands (Kingdom of the),Communication,105.06,0.0126
20141,2017,Netherlands (Kingdom of the),Fuel and energy,1843.64,0.22109
20142,2017,Netherlands (Kingdom of the),Environment protection,11266.31,1.35109
20143,2017,Netherlands (Kingdom of the),Housing and community amenities,3108.883,0.37283
20144,2017,Netherlands (Kingdom of the),Health,60767.81,7.28745
20145,2017,Netherlands (Kingdom of the),Education,42753.914,5.12717
20146,2017,Netherlands (Kingdom of the),Social protection,135984.242,16.30761
20147,2017,Netherlands (Kingdom of the),General public services,33598.978,4.02928
20148,2017,Netherlands (Kingdom of the),Defence,9637.31,1.15573
20149,2017,Netherlands (Kingdom of the),Public order and safety,14968.276,1.79504
20150,2017,Netherlands (Kingdom of the),"Recreation, culture and religion",10447.292,1.25287
20151,2017,Netherlands (Kingdom of the),"General economic, commercial and labour affairs",3636.444,0.43609
20152,2017,Netherlands (Kingdom of the),Other industries,2698.808,0.32365
20153,2017,Netherlands (Kingdom of the),RandD Economic affairs,4147.06,0.49733
20154,2017,Netherlands (Kingdom of the),Economic affairs n.e.c.,56.484,0.00677
20155,2017,New Zealand,Total function,70531.869,34.13541
20156,2017,New Zealand,Environment protection,1767.93,0.85563
20157,2017,New Zealand,Housing and community amenities,1150.647,0.55688
20158,2017,New Zealand,Health,12690.93,6.14205
20159,2017,New Zealand,Education,11457.684,5.54519
20160,2017,New Zealand,Social protection,21314.61,10.31566
20161,2017,New Zealand,General public services,9365.242,4.53251
20162,2017,New Zealand,Defence,1801.901,0.87207
20163,2017,New Zealand,Public order and safety,3516.023,1.70165
20164,2017,New Zealand,"Recreation, culture and religion",1806.874,0.87448
20165,2017,Norway,Total function,201098.771,50.47736
20166,2017,Norway,"Agriculture, forestry, fishing and hunting",2309.934,0.57981
20167,2017,Norway,"Mining, manufacturing and construction",25.992,0.00652
20168,2017,Norway,Transport,14687.608,3.6867
20169,2017,Norway,Communication,203.828,0.05116
20170,2017,Norway,Fuel and energy,478.743,0.12017
20171,2017,Norway,Environment protection,3598.307,0.9032
20172,2017,Norway,Housing and community amenities,3155.35,0.79202
20173,2017,Norway,Health,33506.065,8.41028
20174,2017,Norway,Education,22227.927,5.57938
20175,2017,Norway,Social protection,79322.95,19.91068
20176,2017,Norway,General public services,18280.234,4.58848
20177,2017,Norway,Defence,6787.749,1.70378
20178,2017,Norway,Public order and safety,4616.119,1.15868
20179,2017,Norway,"Recreation, culture and religion",7016.603,1.76122
20180,2017,Norway,"General economic, commercial and labour affairs",2052.791,0.51527
20181,2017,Norway,Other industries,19.948,0.00501
20182,2017,Norway,RandD Economic affairs,2075.398,0.52094
20183,2017,Norway,Economic affairs n.e.c.,733.226,0.18405
20184,2017,Panama,Total function,16794.61,26.9998
20185,2017,Panama,"Agriculture, forestry, fishing and hunting",267.29,0.42971
20186,2017,Panama,"Mining, manufacturing and construction",1.67,0.00268
20187,2017,Panama,Transport,1547.14,2.48725
20188,2017,Panama,Communication,13.15,0.02114
20189,2017,Panama,Fuel and energy,48.62,0.07816
20190,2017,Panama,Environment protection,245.82,0.39519
20191,2017,Panama,Housing and community amenities,1130.75,1.81785
20192,2017,Panama,Health,2757.06,4.43238
20193,2017,Panama,Education,2886.55,4.64055
20194,2017,Panama,Social protection,3662.62,5.8882
20195,2017,Panama,General public services,2349.41,3.77702
20196,2017,Panama,Public order and safety,1296.78,2.08476
20197,2017,Panama,"Recreation, culture and religion",213.72,0.34359
20198,2017,Panama,"General economic, commercial and labour affairs",53.5,0.08601
20199,2017,Panama,Other industries,212.81,0.34212
20200,2017,Panama,RandD Economic affairs,19.92,0.03202
20201,2017,Panama,Economic affairs n.e.c.,87.79,0.14114
20202,2017,Paraguay,Total function,7159.1,18.35802
20203,2017,Paraguay,"Agriculture, forestry, fishing and hunting",147.584,0.37845
20204,2017,Paraguay,Transport,642.955,1.64872
20205,2017,Paraguay,Communication,40.474,0.10379
20206,2017,Paraguay,Fuel and energy,1.454,0.00373
20207,2017,Paraguay,Environment protection,64.02,0.16417
20208,2017,Paraguay,Housing and community amenities,106.257,0.27247
20209,2017,Paraguay,Health,1141.697,2.92764
20210,2017,Paraguay,Education,1181.638,3.03006
20211,2017,Paraguay,Social protection,1955.294,5.01394
20212,2017,Paraguay,General public services,598.53,1.53481
20213,2017,Paraguay,Defence,264.325,0.67781
20214,2017,Paraguay,Public order and safety,906.481,2.32448
20215,2017,Paraguay,"Recreation, culture and religion",24.662,0.06324
20216,2017,Paraguay,"General economic, commercial and labour affairs",58.943,0.15115
20217,2017,Paraguay,Other industries,24.784,0.06355
20218,2017,Peru,Total function,45125.343,21.38561
20219,2017,Peru,"Agriculture, forestry, fishing and hunting",1361.054,0.64502
20220,2017,Peru,"Mining, manufacturing and construction",89.588,0.04246
20221,2017,Peru,Transport,4276.482,2.02669
20222,2017,Peru,Communication,226.316,0.10725
20223,2017,Peru,Fuel and energy,307.202,0.14559
20224,2017,Peru,Environment protection,3391.345,1.60721
20225,2017,Peru,Housing and community amenities,857.629,0.40644
20226,2017,Peru,Health,4881.882,2.3136
20227,2017,Peru,Education,8211.233,3.89143
20228,2017,Peru,Social protection,5965.41,2.8271
20229,2017,Peru,General public services,7616.123,3.6094
20230,2017,Peru,Defence,1776.311,0.84182
20231,2017,Peru,Public order and safety,4730.579,2.2419
20232,2017,Peru,"Recreation, culture and religion",927.79,0.43969
20233,2017,Peru,"General economic, commercial and labour affairs",332.269,0.15747
20234,2017,Peru,Other industries,146.72,0.06953
20235,2017,Peru,RandD Economic affairs,27.407,0.01299
20236,2017,Philippines,Total function,65775.396,20.02413
20237,2017,Philippines,Environment protection,170.714,0.05197
20238,2017,Philippines,Housing and community amenities,294.433,0.08963
20239,2017,Philippines,Health,3229.978,0.98331
20240,2017,Philippines,Education,13044.478,3.97115
20241,2017,Philippines,Social protection,6177.886,1.88075
20242,2017,Philippines,General public services,24065.834,7.32641
20243,2017,Philippines,Defence,2675.915,0.81463
20244,2017,Philippines,Public order and safety,4504.046,1.37117
20245,2017,Philippines,"Recreation, culture and religion",128.432,0.0391
20246,2017,Poland,Total function,217301.481,41.41906
20247,2017,Poland,"Agriculture, forestry, fishing and hunting",2272.089,0.43307
20248,2017,Poland,"Mining, manufacturing and construction",282.793,0.0539
20249,2017,Poland,Transport,16211.301,3.08998
20250,2017,Poland,Communication,48.948,0.00933
20251,2017,Poland,Fuel and energy,1563.62,0.29804
20252,2017,Poland,Environment protection,2045.617,0.38991
20253,2017,Poland,Housing and community amenities,2943.559,0.56106
20254,2017,Poland,Health,24654.973,4.6994
20255,2017,Poland,Education,25790.951,4.91592
20256,2017,Poland,Social protection,86490.071,16.48557
20257,2017,Poland,General public services,23265.071,4.43447
20258,2017,Poland,Defence,8921.108,1.70042
20259,2017,Poland,Public order and safety,11225.848,2.13972
20260,2017,Poland,"Recreation, culture and religion",6342.124,1.20885
20261,2017,Poland,"General economic, commercial and labour affairs",4219.734,0.80431
20262,2017,Poland,Other industries,148.352,0.02828
20263,2017,Poland,RandD Economic affairs,649.437,0.12379
20264,2017,Poland,Economic affairs n.e.c.,225.886,0.04306
20265,2017,Portugal,Total function,100425.686,45.36802
20266,2017,Portugal,"Agriculture, forestry, fishing and hunting",581.481,0.26269
20267,2017,Portugal,"Mining, manufacturing and construction",468.637,0.21171
20268,2017,Portugal,Transport,4062.492,1.83526
20269,2017,Portugal,Communication,44.701,0.02019
20270,2017,Portugal,Fuel and energy,139.967,0.06323
20271,2017,Portugal,Environment protection,1339.226,0.605
20272,2017,Portugal,Housing and community amenities,975.773,0.44081
20273,2017,Portugal,Health,13828.032,6.24691
20274,2017,Portugal,Education,10145.158,4.58315
20275,2017,Portugal,Social protection,38076.085,17.20114
20276,2017,Portugal,General public services,16831.21,7.60362
20277,2017,Portugal,Defence,1943.153,0.87783
20278,2017,Portugal,Public order and safety,3769.656,1.70297
20279,2017,Portugal,"Recreation, culture and religion",1857.377,0.83908
20280,2017,Portugal,"General economic, commercial and labour affairs",5561.646,2.51251
20281,2017,Portugal,Other industries,408.097,0.18436
20282,2017,Portugal,RandD Economic affairs,392.993,0.17754
20283,2017,Romania,Total function,70614.359,33.60233
20284,2017,Romania,"Agriculture, forestry, fishing and hunting",1445.58,0.68789
20285,2017,Romania,"Mining, manufacturing and construction",720.692,0.34295
20286,2017,Romania,Transport,5204.526,2.47661
20287,2017,Romania,Communication,87.378,0.04158
20288,2017,Romania,Fuel and energy,775.72,0.36913
20289,2017,Romania,Environment protection,1053.179,0.50116
20290,2017,Romania,Housing and community amenities,1853.132,0.88183
20291,2017,Romania,Health,9153.282,4.35565
20292,2017,Romania,Education,6015.854,2.86269
20293,2017,Romania,Social protection,24677.386,11.74291
20294,2017,Romania,General public services,8609.074,4.09669
20295,2017,Romania,Defence,3773.604,1.7957
20296,2017,Romania,Public order and safety,4209.904,2.00331
20297,2017,Romania,"Recreation, culture and religion",2121.411,1.00949
20298,2017,Romania,"General economic, commercial and labour affairs",399.162,0.18994
20299,2017,Romania,Other industries,20.901,0.00995
20300,2017,Romania,RandD Economic affairs,239.976,0.11419
20301,2017,Romania,Economic affairs n.e.c.,253.597,0.12068
20302,2017,Russian Federation,Total function,576686.4,36.63363
20303,2017,Russian Federation,"Agriculture, forestry, fishing and hunting",7656.489,0.48637
20304,2017,Russian Federation,"Mining, manufacturing and construction",498.073,0.03164
20305,2017,Russian Federation,Transport,7173.807,0.45571
20306,2017,Russian Federation,Communication,1674.757,0.10639
20307,2017,Russian Federation,Fuel and energy,616.666,0.03917
20308,2017,Russian Federation,Environment protection,2168.802,0.13777
20309,2017,Russian Federation,Housing and community amenities,16217.322,1.03019
20310,2017,Russian Federation,Health,47577.592,3.02234
20311,2017,Russian Federation,Education,54792.535,3.48066
20312,2017,Russian Federation,Social protection,207202.941,13.16243
20313,2017,Russian Federation,General public services,104805.732,6.65772
20314,2017,Russian Federation,Defence,32215.114,2.04644
20315,2017,Russian Federation,Public order and safety,36650.28,2.32819
20316,2017,Russian Federation,"Recreation, culture and religion",14794.524,0.93981
20317,2017,Russian Federation,"General economic, commercial and labour affairs",2195.661,0.13948
20318,2017,Russian Federation,Other industries,22742.48,1.4447
20319,2017,Russian Federation,RandD Economic affairs,1116.933,0.07095
20320,2017,Russian Federation,Economic affairs n.e.c.,16588.25,1.05376
20321,2017,Samoa,Total function,250.525,28.41407
20322,2017,Samoa,Environment protection,7.524,0.8534
20323,2017,Samoa,Housing and community amenities,8.125,0.92156
20324,2017,Samoa,Health,32.383,3.67286
20325,2017,Samoa,Education,34.207,3.87972
20326,2017,Samoa,Social protection,10.191,1.15584
20327,2017,Samoa,General public services,47.616,5.40054
20328,2017,Samoa,Defence,0.0,0.0
20329,2017,Samoa,Public order and safety,17.236,1.95491
20330,2017,Samoa,"Recreation, culture and religion",1.779,0.20174
20331,2017,Serbia and Montenegro,Total function,,
20332,2017,Serbia and Montenegro,"Agriculture, forestry, fishing and hunting",,
20333,2017,Serbia and Montenegro,"Mining, manufacturing and construction",,
20334,2017,Serbia and Montenegro,Transport,,
20335,2017,Serbia and Montenegro,Communication,,
20336,2017,Serbia and Montenegro,Fuel and energy,,
20337,2017,Serbia and Montenegro,Environment protection,,
20338,2017,Serbia and Montenegro,Housing and community amenities,,
20339,2017,Serbia and Montenegro,Health,,
20340,2017,Serbia and Montenegro,Education,,
20341,2017,Serbia and Montenegro,Social protection,,
20342,2017,Serbia and Montenegro,General public services,,
20343,2017,Serbia and Montenegro,Defence,,
20344,2017,Serbia and Montenegro,Public order and safety,,
20345,2017,Serbia and Montenegro,"Recreation, culture and religion",,
20346,2017,Serbia and Montenegro,"General economic, commercial and labour affairs",,
20347,2017,Serbia and Montenegro,Other industries,,
20348,2017,Serbia and Montenegro,RandD Economic affairs,,
20349,2017,Serbia and Montenegro,Economic affairs n.e.c.,,
20350,2017,Serbia and Montenegro,Others,,
20351,2017,Singapore,Total function,54816.569,15.97279
20352,2017,Singapore,"Agriculture, forestry, fishing and hunting",164.889,0.04805
20353,2017,Singapore,"Mining, manufacturing and construction",57.787,0.01684
20354,2017,Singapore,Transport,5369.712,1.56466
20355,2017,Singapore,Communication,131.506,0.03832
20356,2017,Singapore,Fuel and energy,2.028,0.00059
20357,2017,Singapore,Environment protection,1053.424,0.30695
20358,2017,Singapore,Housing and community amenities,3990.803,1.16287
20359,2017,Singapore,Health,7383.746,2.15152
20360,2017,Singapore,Education,9463.512,2.75754
20361,2017,Singapore,Social protection,3378.822,0.98454
20362,2017,Singapore,General public services,3822.438,1.11381
20363,2017,Singapore,Defence,10410.124,3.03337
20364,2017,Singapore,Public order and safety,3810.707,1.11039
20365,2017,Singapore,"Recreation, culture and religion",1831.743,0.53374
20366,2017,Singapore,"General economic, commercial and labour affairs",2690.733,0.78404
20367,2017,Singapore,Other industries,270.616,0.07885
20368,2017,Singapore,RandD Economic affairs,556.439,0.16214
20369,2017,Singapore,Economic affairs n.e.c.,427.54,0.12458
20370,2017,Slovakia,Total function,37776.855,39.4949
20371,2017,Slovakia,"Agriculture, forestry, fishing and hunting",209.748,0.21929
20372,2017,Slovakia,"Mining, manufacturing and construction",48.034,0.05022
20373,2017,Slovakia,Transport,3646.792,3.81264
20374,2017,Slovakia,Communication,32.331,0.0338
20375,2017,Slovakia,Fuel and energy,670.929,0.70144
20376,2017,Slovakia,Environment protection,746.188,0.78012
20377,2017,Slovakia,Housing and community amenities,433.007,0.4527
20378,2017,Slovakia,Health,5238.885,5.47714
20379,2017,Slovakia,Education,3709.986,3.87871
20380,2017,Slovakia,Social protection,13908.149,14.54067
20381,2017,Slovakia,General public services,4933.193,5.15755
20382,2017,Slovakia,Defence,922.837,0.96481
20383,2017,Slovakia,Public order and safety,2055.895,2.14939
20384,2017,Slovakia,"Recreation, culture and religion",780.406,0.8159
20385,2017,Slovakia,"General economic, commercial and labour affairs",177.676,0.18576
20386,2017,Slovakia,Other industries,197.265,0.20624
20387,2017,Slovakia,RandD Economic affairs,25.757,0.02693
20388,2017,Slovakia,Economic affairs n.e.c.,39.799,0.04161
20389,2017,Slovenia,Total function,21413.197,44.06996
20390,2017,Slovenia,"Agriculture, forestry, fishing and hunting",231.065,0.47555
20391,2017,Slovenia,"Mining, manufacturing and construction",4.169,0.00858
20392,2017,Slovenia,Transport,1065.527,2.19293
20393,2017,Slovenia,Communication,13.116,0.02699
20394,2017,Slovenia,Fuel and energy,120.469,0.24793
20395,2017,Slovenia,Environment protection,219.621,0.452
20396,2017,Slovenia,Housing and community amenities,234.996,0.48364
20397,2017,Slovenia,Health,3187.475,6.56006
20398,2017,Slovenia,Education,2641.138,5.43566
20399,2017,Slovenia,Social protection,8276.79,17.03425
20400,2017,Slovenia,General public services,2846.808,5.85894
20401,2017,Slovenia,Defence,434.159,0.89353
20402,2017,Slovenia,Public order and safety,779.491,1.60425
20403,2017,Slovenia,"Recreation, culture and religion",672.025,1.38308
20404,2017,Slovenia,"General economic, commercial and labour affairs",412.311,0.84857
20405,2017,Slovenia,Other industries,92.103,0.18955
20406,2017,Slovenia,RandD Economic affairs,181.845,0.37425
20407,2017,Slovenia,Economic affairs n.e.c.,0.102,0.00021
20408,2017,Somalia,Total function,0.015,0.00026
20409,2017,Somalia,"Agriculture, forestry, fishing and hunting",0.0,0.0
20410,2017,Somalia,"Mining, manufacturing and construction",0.0,0.0
20411,2017,Somalia,Transport,0.0,0.0
20412,2017,Somalia,Communication,0.0,0.0
20413,2017,Somalia,Fuel and energy,0.0,0.0
20414,2017,Somalia,Environment protection,0.0,0.0
20415,2017,Somalia,Housing and community amenities,0.0,0.0
20416,2017,Somalia,Health,0.0,0.0
20417,2017,Somalia,Education,0.0,0.0
20418,2017,Somalia,Social protection,0.0,0.0
20419,2017,Somalia,General public services,0.007,0.00012
20420,2017,Somalia,Defence,0.003,6e-05
20421,2017,Somalia,Public order and safety,0.003,5e-05
20422,2017,Somalia,"Recreation, culture and religion",0.0,0.0
20423,2017,Somalia,"General economic, commercial and labour affairs",0.0,0.0
20424,2017,Somalia,Other industries,0.0,0.0
20425,2017,Somalia,RandD Economic affairs,0.0,0.0
20426,2017,Somalia,Economic affairs n.e.c.,0.0,0.0
20427,2017,South Africa,Total function,151122.036,39.68005
20428,2017,South Africa,"Agriculture, forestry, fishing and hunting",1902.715,0.4996
20429,2017,South Africa,"Mining, manufacturing and construction",654.029,0.17173
20430,2017,South Africa,Transport,9321.814,2.44762
20431,2017,South Africa,Communication,505.776,0.1328
20432,2017,South Africa,Fuel and energy,6536.083,1.71618
20433,2017,South Africa,Environment protection,1169.605,0.3071
20434,2017,South Africa,Housing and community amenities,7875.68,2.06791
20435,2017,South Africa,Health,17542.816,4.60621
20436,2017,South Africa,Education,28531.872,7.4916
20437,2017,South Africa,Social protection,20391.853,5.35428
20438,2017,South Africa,General public services,33069.841,8.68313
20439,2017,South Africa,Defence,3602.813,0.94599
20440,2017,South Africa,Public order and safety,12636.934,3.31807
20441,2017,South Africa,"Recreation, culture and religion",3357.676,0.88162
20442,2017,South Africa,"General economic, commercial and labour affairs",3117.187,0.81848
20443,2017,South Africa,Other industries,572.892,0.15042
20444,2017,South Africa,RandD Economic affairs,332.169,0.08722
20445,2017,South Africa,Economic affairs n.e.c.,0.0,0.0
20446,2017,Spain,Total function,542546.33,41.3134
20447,2017,Spain,"Agriculture, forestry, fishing and hunting",4316.512,0.32869
20448,2017,Spain,"Mining, manufacturing and construction",756.886,0.05763
20449,2017,Spain,Transport,18481.584,1.40732
20450,2017,Spain,Communication,969.266,0.07381
20451,2017,Spain,Fuel and energy,5173.94,0.39398
20452,2017,Spain,Environment protection,11492.247,0.8751
20453,2017,Spain,Housing and community amenities,5822.377,0.44336
20454,2017,Spain,Health,78300.462,5.96236
20455,2017,Spain,Education,52472.561,3.99564
20456,2017,Spain,Social protection,218841.838,16.6642
20457,2017,Spain,General public services,72984.182,5.55754
20458,2017,Spain,Defence,11719.313,0.89239
20459,2017,Spain,Public order and safety,24006.855,1.82806
20460,2017,Spain,"Recreation, culture and religion",14463.308,1.10134
20461,2017,Spain,"General economic, commercial and labour affairs",15790.683,1.20242
20462,2017,Spain,Other industries,2097.818,0.15974
20463,2017,Spain,RandD Economic affairs,4443.036,0.33832
20464,2017,Spain,Economic affairs n.e.c.,413.463,0.03148
20465,2017,Sri Lanka,Total function,16943.596,19.38003
20466,2017,Sri Lanka,Environment protection,0.0,0.0
20467,2017,Sri Lanka,Housing and community amenities,2108.771,2.41201
20468,2017,Sri Lanka,Health,1291.078,1.47673
20469,2017,Sri Lanka,Education,1688.327,1.9311
20470,2017,Sri Lanka,General public services,5838.79,6.67839
20471,2017,Sri Lanka,Defence,1495.692,1.71077
20472,2017,Sri Lanka,Public order and safety,582.324,0.66606
20473,2017,Sri Lanka,"Recreation, culture and religion",0.0,0.0
20474,2017,Sweden,Total function,266368.472,49.23461
20475,2017,Sweden,"Agriculture, forestry, fishing and hunting",691.437,0.1278
20476,2017,Sweden,"Mining, manufacturing and construction",468.717,0.08664
20477,2017,Sweden,Transport,14310.679,2.64514
20478,2017,Sweden,Communication,108.319,0.02002
20479,2017,Sweden,Fuel and energy,597.623,0.11046
20480,2017,Sweden,Environment protection,2523.26,0.46639
20481,2017,Sweden,Housing and community amenities,3035.843,0.56113
20482,2017,Sweden,Health,37039.087,6.84617
20483,2017,Sweden,Education,36253.836,6.70103
20484,2017,Sweden,Social protection,108084.81,19.97802
20485,2017,Sweden,General public services,36622.54,6.76918
20486,2017,Sweden,Defence,6438.168,1.19001
20487,2017,Sweden,Public order and safety,6893.901,1.27424
